Group,Genus,Total,0001-mifish,0002-mifish,0003-mifish,0004-mifish,0005-mifish,0006-mifish,0007-mifish,0008-mifish,0009-mifish,0010-mifish,0011-mifish,0012-mifish,0013-mifish,0014-mifish,0015-mifish,0016-mifish,0017-mifish,0018-mifish,12s-allalberta,12s-blindspot,12s-lowrelat,12s-mix,12s-richlowevenlow,12s-richlowevenplus,12s-richplusevenlow,12s-richplusevenplus
Acipenseridae,Acipenser,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,5360,1102,0,0,0,0
Anguillidae,Anguilla,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5358,1100,0,0,0,0
Catostomidae,Carpiodes,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5359,1100,0,0,0,0
Catostomidae,Catostomus,92678,4529,4516,2928,4480,2102,4495,3574,5884,4999,8369,2581,1175,5159,4756,2812,4264,1269,11415,2554,5357,0,2196,0,0,752,2512
Catostomidae,Moxostoma,4753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2552,0,0,2200,0,0,0,0
Catostomidae,Xyrauchen,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1100,0,0,0,0
Centrarchidae,Lepomis,2386,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,1,1,1276,0,0,1101,0,0,0,0
Centrarchidae,Micropterus,11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2555,0,5361,3304,0,0,0,0
Cottidae,Cottus,9949,0,0,0,478,0,0,0,0,0,0,512,0,0,5,1,1213,1,0,1276,5362,0,1101,0,0,0,0
Cyprinidae,Carassius,4775,2,0,0,0,0,3,6,0,0,0,0,0,1,3,4,0,0,0,2553,0,0,2203,0,0,0,0
Cyprinidae,Couesius,191502,21039,6998,19091,1833,12761,3416,3240,17224,10309,7884,12036,9536,7025,4,6567,4169,6261,30358,1276,5359,0,1102,0,0,1505,2509
Cyprinidae,Lavinia,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,0,0,1092,0,0,0,0
Cyprinidae,Luxilus,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,0,0,1098,0,0,0,0
Cyprinidae,Notropis,4753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2551,0,0,2201,0,0,0,0
Cyprinidae,Phoxinus,11064,1,1,0,784,2732,0,344,1,0,0,1,5,161,355,546,0,405,975,2552,0,0,2201,0,0,0,0
Cyprinidae,Pimephales,4788,0,1,2089,245,0,3,0,0,4,2,1,1,0,1,0,0,1,63,1277,0,0,1100,0,0,0,0
Cyprinidae,Platygobio,16853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,5360,5354,1100,0,0,1254,2507
