Group,Genus,Species,TaxonName,Total,0001-mifish,0002-mifish,0003-mifish,0004-mifish,0005-mifish,0006-mifish,0007-mifish,0008-mifish,0009-mifish,0010-mifish,0011-mifish,0012-mifish,0013-mifish,0014-mifish,0015-mifish,0016-mifish,0017-mifish,0018-mifish,12s-allalberta,12s-blindspot,12s-lowrelat,12s-mix,12s-richlowevenlow,12s-richlowevenplus,12s-richplusevenlow,12s-richplusevenplus
Acipenseridae,Acipenser,fulvescens,Acipenseridae_Acipenser_fulvescens,7731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,0,5356,1102,0,0,0,0
Anguillidae,Anguilla,rostrata,Anguillidae_Anguilla_rostrata,7735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5358,1100,0,0,0,0
Catostomidae,Catostomus,catostomus,Catostomidae_Catostomus_catostomus,58901,1128,3234,0,2524,1683,3370,1775,5884,3010,3629,1008,1174,2684,770,1989,2803,1166,10074,1278,5357,0,1097,0,0,752,2512
Catostomidae,Catostomus,commersonii,Catostomidae_Catostomus_commersonii,33759,3401,1282,2927,1955,419,1124,1795,0,1988,4740,1571,1,2473,3984,822,1460,103,1339,1276,0,0,1099,0,0,0,0
Catostomidae,Carpiodes,carpio,Catostomidae_Carpiodes_carpio,7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5357,1100,0,0,0,0
Catostomidae,Moxostoma,macrolepidotum,Catostomidae_Moxostoma_macrolepidotum,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,1100,0,0,0,0
Catostomidae,Xyrauchen,texanus,Catostomidae_Xyrauchen_texanus,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1100,0,0,0,0
Catostomidae,Moxostoma,anisurum,Catostomidae_Moxostoma_anisurum,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,1100,0,0,0,0
Centrarchidae,Micropterus,salmoides,Centrarchidae_Micropterus_salmoides,7739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5360,1102,0,0,0,0
Centrarchidae,Micropterus,dolomieu,Centrarchidae_Micropterus_dolomieu,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,1101,0,0,0,0
Centrarchidae,Lepomis,gibbosus,Centrarchidae_Lepomis_gibbosus,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1101,0,0,0,0
Centrarchidae,Micropterus,floridanus,Centrarchidae_Micropterus_floridanus,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0
Cottidae,Cottus,ricei,Cottidae_Cottus_ricei,9900,0,0,0,465,0,0,0,0,0,0,512,0,0,0,0,1207,0,0,1274,5346,0,1096,0,0,0,0
Cyprinidae,Couesius,plumbeus,Cyprinidae_Couesius_plumbeus,191502,21039,6998,19091,1833,12761,3416,3240,17224,10309,7884,12036,9536,7025,4,6567,4169,6261,30358,1276,5359,0,1102,0,0,1505,2509
Cyprinidae,Rhinichthys,cataractae,Cyprinidae_Rhinichthys_cataractae,52513,0,1,0,2,181,2809,1315,3477,12506,5751,9128,0,2347,2832,4002,5612,2,172,1277,0,0,1099,0,0,0,0
Cyprinidae,Platygobio,gracilis,Cyprinidae_Platygobio_gracilis,16853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,5360,5354,1100,0,0,1254,2507
Cyprinidae,Phoxinus,neogaeus,Cyprinidae_Phoxinus_neogaeus,8676,0,0,0,784,2732,0,344,0,0,0,0,0,161,355,546,0,405,971,1276,0,0,1102,0,0,0,0
Cyprinidae,Pimephales,promelas,Cyprinidae_Pimephales_promelas,4783,0,0,2089,245,0,3,0,0,1,2,0,1,0,1,0,0,1,63,1277,0,0,1100,0,0,0,0
Cyprinidae,Phoxinus,eos,Cyprinidae_Phoxinus_eos,2387,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,1276,0,0,1099,0,0,0,0
Cyprinidae,Carassius,auratus,Cyprinidae_Carassius_auratus,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,1100,0,0,0,0
Cyprinidae,Notropis,atherinoides,Cyprinidae_Notropis_atherinoides,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1100,0,0,0,0
Cyprinidae,Notropis,hudsonius,Cyprinidae_Notropis_hudsonius,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,1101,0,0,0,0
Cyprinidae,Lavinia,exilicauda,Cyprinidae_Lavinia_exilicauda,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1269,0,0,1092,0,0,0,0
Cyprinidae,Semotilus,atromaculatus,Cyprinidae_Semotilus_atromaculatus,1623,0,1,1,0,1002,21,0,576,5,3,1,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0
Esocidae,Esox,lucius,Esocidae_Esox_lucius,26693,1,1,0,937,0,4006,552,0,2810,1407,1257,347,557,2544,0,1868,85,2586,1277,0,5356,1102,0,0,0,0
Fish,Gambusia,affinis,Fish_Gambusia_affinis,7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,0,5359,1101,0,0,0,0
Fish,Lethenteron,camtschaticum,Fish_Lethenteron_camtschaticum,7733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,5356,1100,0,0,0,0
Fish,Richardsonius,balteatus,Fish_Richardsonius_balteatus,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,1102,0,0,0,0
Fish,Poecilia,latipinna,Fish_Poecilia_latipinna,2376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1100,0,0,0,0
Fish,Tarimichthys,bombifrons,Fish_Tarimichthys_bombifrons,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,0,0,0
Fish,Embiotoca,jacksoni,Fish_Embiotoca_jacksoni,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,0,0,0,0
Gasterosteidae,Culaea,inconstans,Gasterosteidae_Culaea_inconstans,25815,0,1,3,5,0,0,0,1,4,1,2,7,0,0,0,0,4,4,1275,5357,0,1100,6522,5014,4010,2505
Gasterosteidae,Pungitius,pungitius,Gasterosteidae_Pungitius_pungitius,2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278,0,0,1102,0,0,0,0
Gasterosteidae,Gasterosteus,aculeatus,Gasterosteidae_Gasterosteus_aculeatus,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,0,1102,0,0,0,0
Hiodontidae,Hiodon,tergisus,Hiodontidae_Hiodon_tergisus,7732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5357,1099,0,0,0,0
Hiodontidae,Hiodon,alosoides,Hiodontidae_Hiodon_alosoides,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,1100,0,0,0,0
Ictaluridae,Noturus,flavus,Ictaluridae_Noturus_flavus,7734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,0,5358,1100,0,0,0,0
Leuciscidae,Margariscus,margarita,Leuciscidae_Margariscus_margarita,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,1277,0,0,1101,0,0,0,0
Lotidae,Lota,lota,Lotidae_Lota_lota,39777,0,1460,0,992,45,0,243,0,0,723,129,453,58,0,0,718,230,2324,1274,5357,5356,1100,7523,5012,4270,2510
Mammal,Castor,canadensis,Mammal_Castor_canadensis,275,0,0,9,1,0,0,0,0,10,6,8,0,75,148,10,6,2,0,0,0,0,0,0,0,0,0
Nemacheilidae,Barbatula,nuda,Nemacheilidae_Barbatula_nuda,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0
