Sample,04_data,05_trimmed,06_merged,07_split_amplicons,08_chimeras,12_results
0001-mifish,56559,47917,47665,26316,26164,25572
0002-mifish,49016,30729,30611,13349,13286,13255
0003-mifish,35824,33676,33614,28966,28519,24120
0004-mifish,42284,38740,38614,22329,22114,15595
0005-mifish,29088,23286,23229,19946,19495,18950
0006-mifish,30471,22951,22901,18708,18580,18473
0007-mifish,21973,17668,17615,12263,12125,12055
0008-mifish,62674,40857,40758,30302,30002,29856
0009-mifish,52654,47963,47835,38366,38067,37934
0010-mifish,47783,42420,42281,31746,31443,31318
0011-mifish,37268,34748,34673,28442,28117,28024
12s-allalberta,77958,77958,77920,77859,77858,76523
12s-blindspot,80490,80490,80460,80389,80387,80331
12s-lowrelat,80490,80490,80448,80395,80395,80346
12s-mix,78242,78242,78205,78150,78146,71431
12s-richlowevenlow,40246,40151,40148,40135,40135,40130
12s-richlowevenplus,40244,40130,40125,40121,40120,40114
12s-richplusevenlow,40240,40150,40145,40135,40133,40125
12s-richplusevenplus,40240,40163,40161,40158,40155,40149
0012-mifish,33543,29848,29648,12846,12812,12257
0013-mifish,27268,26020,25903,17449,17270,16921
0014-mifish,37181,31124,30865,24207,24086,20571
0015-mifish,42649,30590,30463,17658,17518,16909
0016-mifish,45043,43094,42913,24613,24452,24215
0017-mifish,31594,28548,28360,10118,10073,9886
0018-mifish,61800,57699,57563,50603,49812,48965
