Sample	Primer	Species	Similarity	NumSequences
0001-mifish	12s200pb	Catostomidae_Catostomus_catostomus	100.0	1021
0001-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.1	4
0001-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.2	1
0001-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.8	10
0001-mifish	12s200pb	Catostomidae_Catostomus_catostomus	99.4	92
0001-mifish	12s200pb	Catostomidae_Catostomus_commersonii	100.0	3103
0001-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.6	1
0001-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.2	5
0001-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.8	29
0001-mifish	12s200pb	Catostomidae_Catostomus_commersonii	99.4	263
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	100.0	19583
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.1	64
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.7	11
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.3	25
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.8	6
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.9	53
0001-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	99.4	1297
0001-mifish	12s200pb	Cyprinidae_Phoxinus_eos	97.1	1
0001-mifish	12s200pb	Esocidae_Esox_lucius	99.4	1
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	100.0	3004
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.1	3
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.6	2
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.7	1
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.2	4
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.8	16
0002-mifish	12s200pb	Catostomidae_Catostomus_catostomus	99.4	204
0002-mifish	12s200pb	Catostomidae_Catostomus_commersonii	100.0	1194
0002-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.6	1
0002-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.2	2
0002-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.8	10
0002-mifish	12s200pb	Catostomidae_Catostomus_commersonii	99.4	75
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	100.0	6371
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.1	35
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.7	2
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.3	6
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.8	5
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.9	29
0002-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	99.4	550
0002-mifish	12s200pb	Cyprinidae_Phoxinus_eos	98.3	1
0002-mifish	12s200pb	Cyprinidae_Pimephales_notatus	99.4	1
0002-mifish	12s200pb	Cyprinidae_Rhinichthys_cataractae	98.9	1
0002-mifish	12s200pb	Cyprinidae_Semotilus_atromaculatus	99.4	1
0002-mifish	12s200pb	Esocidae_Esox_lucius	99.4	1
0002-mifish	12s200pb	Gasterosteidae_Culaea_inconstans	99.4	1
0002-mifish	12s200pb	Lotidae_Lota_lota	100.0	1361
0002-mifish	12s200pb	Lotidae_Lota_lota	97.0	2
0002-mifish	12s200pb	Lotidae_Lota_lota	97.6	2
0002-mifish	12s200pb	Lotidae_Lota_lota	98.2	2
0002-mifish	12s200pb	Lotidae_Lota_lota	98.8	9
0002-mifish	12s200pb	Lotidae_Lota_lota	99.4	84
0002-mifish	12s200pb	Mammal_Homo_sapiens	100.0	1
0002-mifish	12s200pb	Percidae_Sander_vitreus	100.0	1
0002-mifish	12s200pb	Percopsidae_Percopsis_omiscomaycus	100.0	255
0002-mifish	12s200pb	Percopsidae_Percopsis_omiscomaycus	98.8	1
0002-mifish	12s200pb	Percopsidae_Percopsis_omiscomaycus	99.4	19
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	100.0	2619
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.0	1
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.1	5
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.7	2
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.2	2
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.8	28
0003-mifish	12s200pb	Catostomidae_Catostomus_commersonii	99.4	270
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	100.0	15219
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.1	31
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.7	8
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.3	51
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.8	7
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.9	283
0003-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	99.4	3492
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	100.0	1901
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	97.1	1
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	97.7	2
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	98.3	12
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	98.8	1
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	98.9	7
0003-mifish	12s200pb	Cyprinidae_Pimephales_promelas	99.4	165
0003-mifish	12s200pb	Cyprinidae_Semotilus_atromaculatus	99.4	1
0003-mifish	12s200pb	Gasterosteidae_Culaea_inconstans	100.0	2
0003-mifish	12s200pb	Gasterosteidae_Culaea_inconstans	97.0	1
0003-mifish	12s200pb	Mammal_Alces_alces	99.4	1
0003-mifish	12s200pb	Mammal_Castor_canadensis	100.0	8
0003-mifish	12s200pb	Mammal_Castor_canadensis	98.2	1
0003-mifish	12s200pb	Percidae_Etheostoma_nigrum	100.0	1
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	100.0	2344
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.1	4
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.6	2
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	97.7	6
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.2	9
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	98.8	11
0004-mifish	12s200pb	Catostomidae_Catostomus_catostomus	99.4	148
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	100.0	1817
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.1	8
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.6	3
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	97.7	1
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.2	5
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	98.8	16
0004-mifish	12s200pb	Catostomidae_Catostomus_commersonii	99.4	105
0004-mifish	12s200pb	Catostomidae_Moxostoma_valenciennesi	98.8	1
0004-mifish	12s200pb	Cottidae_Cottus_ricei	100.0	440
0004-mifish	12s200pb	Cottidae_Cottus_ricei	97.0	1
0004-mifish	12s200pb	Cottidae_Cottus_ricei	97.6	1
0004-mifish	12s200pb	Cottidae_Cottus_ricei	98.8	1
0004-mifish	12s200pb	Cottidae_Cottus_ricei	99.4	22
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	100.0	1687
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.1	13
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	97.7	5
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.3	6
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	98.9	9
0004-mifish	12s200pb	Cyprinidae_Couesius_plumbeus	99.4	113
0004-mifish	12s200pb	Cyprinidae_Phoxinus_neogaeus	98.3	9
0004-mifish	12s200pb	Cyprinidae_Phoxinus_neogaeus	98.8	2
0004-mifish	12s200pb	Cyprinidae_Phoxinus_neogaeus	98.9	39
