Group,Genus,Total,0001-PS1,0002-PS1,0003-PS1,0004-PS1,0005-PS1,0006-PS1,0007-PS1,0008-PS1,0009-PS1,0010-PS1,0011-PS1,0012-PS1,0013-PS1,0014-PS1,0015-PS1,0016-PS1,0017-PS1,0018-PS1,coi,coi-allalberta,coi-blindspot,coi-lowrelat,coi-mix,coi-richlowevenlow,coi-richlowevenplus,coi-richplusevenlow,coi-richplusevenplus
arthropoda,Leptophlebia,91,0,1,0,16,67,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
arthropoda,Micropsectra,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
chordata,Acipenser,5986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,880,0,3688,709,0,0,0,0
chordata,Anguilla,5990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,879,0,3693,709,0,0,0,0
chordata,Carassius,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,879,0,0,709,0,0,0,0
chordata,Carpiodes,5987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,878,0,3691,709,0,0,0,0
chordata,Castor,611,4,13,70,63,35,16,32,4,72,82,46,8,28,9,27,48,1,53,0,0,0,0,0,0,0,0,0
chordata,Catostomus,15192,1,1,1,2,15,0,3,2,5,12,2,1,4,3,2,0,1,14,2838,3513,3689,0,2838,0,0,519,1726
chordata,Chrosomus,4598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1757,0,0,1420,0,0,0,0
chordata,Coregonus,19169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,1758,3691,0,1417,1036,3457,2937,3456
chordata,Cottus,18506,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,14,0,2839,3516,3693,3688,2839,0,0,172,1727
chordata,Couesius,9588,31,14,227,5,217,4,12,15,22,13,4,12,17,3,9,6,14,212,709,880,3693,0,709,0,0,1032,1728
chordata,Culaea,18463,0,0,18,6,0,0,0,0,0,0,0,0,0,6,0,0,0,2,709,879,3691,0,709,4493,3458,2762,1730
chordata,Esox,5986,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,708,879,0,3690,708,0,0,0,0
chordata,Etheostoma,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,880,0,0,709,0,0,0,0
chordata,Gambusia,5987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,878,0,3691,709,0,0,0,0
chordata,Gasterosteus,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,878,0,0,709,0,0,0,0
chordata,Hemichromis,2298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,878,0,0,710,0,0,0,0
chordata,Hiodon,8287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,1758,0,3691,1419,0,0,0,0
chordata,Hybognathus,4596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,1758,0,0,1419,0,0,0,0
chordata,Lepomis,2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,878,0,0,709,0,0,0,0
