Sample,04_data,05_trimmed,06_merged,07_split_amplicons,08_chimeras,12_results
0001-PS1,35669,4270,3320,2345,2344,35
0002-PS1,32098,3093,2372,1610,1608,36
0003-PS1,34989,4705,3994,3365,3342,333
0004-PS1,27295,6634,5569,5072,5062,115
0005-PS1,40373,2038,1577,1227,1225,337
0006-PS1,27485,1771,1180,915,915,20
0007-PS1,27337,3540,2670,2022,2020,65
0008-PS1,21537,1573,1102,763,762,26
0009-PS1,29923,4024,3081,2587,2582,122
0010-PS1,29258,3978,3066,2577,2567,121
0011-PS1,31184,2373,1709,1423,1422,61
0012-PS1,21187,3172,2286,1873,1863,22
0013-PS1,19676,2753,2226,1773,1767,57
0014-PS1,22322,1833,1306,977,976,27
0015-PS1,23138,2729,2040,1568,1565,73
0016-PS1,22255,5641,4550,3367,3346,67
0017-PS1,23067,3373,2387,1926,1916,30
0018-PS1,30496,752,698,598,595,288
coi-allalberta,59840,59840,59801,48248,48245,48146
coi-blindspot,55410,55410,55392,55366,55365,59662
coi-lowrelat,55410,55410,55384,55374,55372,55244
coi-mix,55380,55380,48261,59785,59778,55300
coi-richlowevenlow,27713,27668,27665,59785,59778,48146
coi-richlowevenplus,27712,27665,27662,55374,55372,27649
coi-richplusevenlow,27713,27641,27640,55366,55365,27619
coi-richplusevenplus,27712,27654,27654,48248,48245,27600
,,,27665,27665,27627
,,,27662,27662,
,,,27640,27639,
,,,27653,27652,
