Sample	Primer	Species	Similarity	NumSequences
0001-PS1	coirawkv	arthropoda_Bicyclus_sealeae	99.6	1
0001-PS1	coirawkv	arthropoda_Ceratosolen_jucundus	100.0	1
0001-PS1	coirawkv	arthropoda_Eucereon_consorta	100.0	1
0001-PS1	coirawkv	arthropoda_Gesta_invisus	100.0	1
0001-PS1	coirawkv	arthropoda_Nesticella_nepalensis	100.0	2
0001-PS1	coirawkv	arthropoda_Nirvanopsis_susah	99.4	2
0001-PS1	coirawkv	arthropoda_Pygovepres_vaccinicola	100.0	1
0001-PS1	coirawkv	arthropoda_Utetheisa_ornatrix	100.0	1
0001-PS1	coirawkv	chordata_Castor_canadensis	100.0	4
0001-PS1	coirawkv	chordata_Couesius_plumbeus	100.0	26
0001-PS1	coirawkv	chordata_Couesius_plumbeus	99.3	2
0001-PS1	coirawkv	chordata_Couesius_plumbeus	99.5	3
0001-PS1	coirawkv	chordata_Ondatra_zibethicus	100.0	1
0001-PS1	coirawkv	chordata_Semotilus_atromaculatus	99.5	1
0002-PS1	coirawkv	arthropoda_Daimio_tethys	100.0	1
0002-PS1	coirawkv	arthropoda_Phauloppia_boletorum	100.0	1
0002-PS1	coirawkv	arthropoda_Siphlonurus_alternatus	100.0	3
0002-PS1	coirawkv	arthropoda_Xanthoperla_apicalis	100.0	6
0002-PS1	coirawkv	chordata_Castor_canadensis	100.0	11
0002-PS1	coirawkv	chordata_Castor_canadensis	99.5	2
0002-PS1	coirawkv	chordata_Catostomus_catostomus	100.0	1
0002-PS1	coirawkv	chordata_Couesius_plumbeus	100.0	14
0002-PS1	coirawkv	chordata_Lota_lota	100.0	5
0002-PS1	coirawkv	chordata_Lota_lota	99.0	1
0002-PS1	coirawkv	chordata_Percopsis_omiscomaycus	100.0	1
0002-PS1	coirawkv	chordata_Typhlonarke_aysoni	100.0	2
0003-PS1	coirawkv	arthropoda_Ampedus_evansi	100.0	2
0003-PS1	coirawkv	arthropoda_Ceratosolen_jucundus	100.0	1
0003-PS1	coirawkv	arthropoda_Gesta_invisus	100.0	1
0003-PS1	coirawkv	arthropoda_Sarangesa_bouvieri	97.7	2
0003-PS1	coirawkv	arthropoda_Siphonoperla_montana	100.0	1
0003-PS1	coirawkv	arthropoda_Utetheisa_ornatrix	100.0	3
0003-PS1	coirawkv	chordata_Canis_adustus	100.0	2
0003-PS1	coirawkv	chordata_Capra_hircus	100.0	1
