ID	cellularOrganisms	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
PQ064519	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Moxostoma	Moxostoma_macrolepidotum
MW856894	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Moxostoma	Moxostoma_anisurum
AF023192	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Margariscus	Margariscus_margarita
AF038493	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Chrosomus	Chrosomus_neogaeus
NC_008106	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus_salmoides
NC_024032	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo	Salmo_trutta
NC_011361	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus_dolomieu
NC_037014	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Notropis	Notropis_hudsonius
NC_015082	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Hiodontiformes	Hiodontidae	Hiodon	Hiodon_tergisus
NC_004388	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	Gambusia	Gambusia_affinis
NC_033945	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Richardsonius	Richardsonius_balteatus
NC_004379	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Gadiformes	Lotidae	Lota	Lota_lota
NC_020465	cellularOrganisms	Eukaryota	Metazoa	Chordata	Hyperoartia	Petromyzontiformes	Petromyzontidae	Lethenteron	Lethenteron_camtschaticum
NC_020764	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Prosopium	Prosopium_cylindraceum
NC_020763	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Prosopium	Prosopium_williamsoni
NC_041244	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Gasterosteus	Gasterosteus_aculeatus
NC_020762	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Coregonus	Coregonus_clupeaformis
NC_006580	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius_auratus
NC_011577	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Culaea	Culaea_inconstans
NC_028087	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Pimephales	Pimephales_promelas
NC_011571	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Gasterosteidae	Pungitius	Pungitius_pungitius
NC_000860	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salvelinus	Salvelinus_fontinalis
NC_030325	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_fulvescens
NC_005145	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Hiodontiformes	Hiodontidae	Hiodon	Hiodon_alosoides
