ID	cellularOrganisms	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
NC_030325	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser_fulvescens
NC_006547	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla_rostrata
NC_008647	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_commersonii
NC_037013	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_catostomus
NC_056404	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Carpiodes	Carpiodes_cyprinus
NC_066945	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_macrocheilus
KX145601	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Catostomus	Catostomus_platyrhynchus
PQ064521	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Moxostoma	Moxostoma_anisurum
PQ064520	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cypriniformes	Catostomidae	Moxostoma	Moxostoma_macrolepidotum
NC_008106	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus_salmoides
NC_011361	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus_dolomieu
NC_028284	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Lepomis	Lepomis_gibbosus
HM882929	cellularOrganisms	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Rubricatochromis	Rubricatochromis_bimaculatus
