Species	Rank1	Genus_barque	Phylum	Class	Order	Family	Genus
Acanthogyrus_cheni	Acanthocephala	Acanthogyrus	Acanthocephala_thorny-headed_worms	Eoacanthocephala	Gyracanthocephala	Quadrigyridae	Acanthogyrus
Ammotragus_lervia	Mammal	Ammotragus	Chordata	Mammalia	Artiodactyla	Bovidae	Ammotragus
Baeothele_saukros	Onychophora	Baeothele	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Baeothele
Brentisentis_yangtzensis	Acanthocephala	Brentisentis	Acanthocephala_thorny-headed_worms	Palaeacanthocephala	Echinorhynchida	Leptorhynchoididae	Brentisentis
Cafeteria_roenbergensis	Heterokontophyta	Cafeteria	Bigyra	Bicosoecophyceae	Bicosoecales	Cafeteriaceae	Cafeteria
Cephalofovea_tomahmontis	Onychophora	Cephalofovea	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Cephalofovea
Cephalorhynchus_heavisidii	Mammal	Cephalorhynchus	Chordata	Mammalia	Artiodactyla	Delphinidae	Cephalorhynchus
Hebesoma_violentum	Acanthocephala	Hebesoma	Acanthocephala_thorny-headed_worms	Eoacanthocephala	Neoechinorhynchida	Neoechinorhynchidae	Hebesoma
Hilkae_setosa	Onychophora	Hilkae	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Hilkae
Mantonipatus_persiculus	Onychophora	Mantonipatus	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Mantonipatus
Monognathus_jesperseni	Fish	Monognathus	Chordata	Actinopteri	Anguilliformes	Monognathidae	Monognathus
Neovison_vison	Mammal	Neovison	Chordata	Mammalia	Carnivora	Mustelidae	Neovison
Nodocapitus_inornatus	Onychophora	Nodocapitus	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Nodocapitus
Occiperipatus_gilesii	Onychophora	Occiperipatus	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatopsidae	Occiperipatus
Oncicola_luehei	Acanthocephala	Oncicola	Acanthocephala_thorny-headed_worms	Archiacanthocephala	Oligacanthorhynchida	Oligacanthorhynchidae	Oncicola
Pagophilus_groenlandicus	Mammal	Pagophilus	Chordata	Mammalia	Carnivora	Phocidae	Pagophilus
Pallisentis_celatus	Acanthocephala	Pallisentis	Acanthocephala_thorny-headed_worms	Eoacanthocephala	Gyracanthocephala	Quadrigyridae	Pallisentis
Pallisentis_ophiocephali	Acanthocephala	Pallisentis	Acanthocephala_thorny-headed_worms	Eoacanthocephala	Gyracanthocephala	Quadrigyridae	Pallisentis
Paratenuisentis_ambiguus	Acanthocephala	Paratenuisentis	Acanthocephala_thorny-headed_worms	Eoacanthocephala	Neoechinorhynchida	Tenuisentidae	Tenuisentidae
Pilasporangium_apinafurcum	Heterokontophyta	Pilasporangium	Oomycota	Oomycetes	Pythiales	Pythiaceae	Pilasporangium
Plagiorhynchus_transversus	Acanthocephala	Plagiorhynchus	Acanthocephala_thorny-headed_worms	Palaeacanthocephala	Polymorphida	Plagiorhynchidae	Plagiorhynchus
Plicatoperipatus_jamaicensis	Onychophora	Plicatoperipatus	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatidae	Plicatoperipatus
Polyacanthorhynchus_caballeroi	Acanthocephala	Polyacanthorhynchus	Acanthocephala_thorny-headed_worms	Polyacanthocephala	Polyacanthorhynchida	Polyacanthorhynchidae	Polyacanthorhynchus
Ruhbergia_bifalcata	Onychophora	Ruhbergia	Onychophora_velvet_worms	Udeonychophora	Euonychophora	Peripatidae	Ruhbergia
Sinilabeo_rendahli	Fish	Sinilabeo	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Sinilabeo
Symbion_americanus	Cycliophora	Symbion	Cycliophora	Eucycliophor	Symbiida	Symbiidae	Symbion
Symbion_pandora	Cycliophora	Symbion	Cycliophora	Eucycliophor	Symbiida	Symbiidae	Symbion
Wilsoniana_bliti	Heterokontophyta	Wilsoniana	Oomycota	undef_Oomycota	Albuginales	Albuginaceae	Wilsoniana
Zearaja_chilensis	Fish	Zearaja	Chordata	Chondrichthyes	Rajiformes	Rajidae	Zearaja

