Sample,Method,Confidence_categories,Total_pergroup,Rate
0001,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,175,97.2222222222222
0001,12S - Barque - VSEARCH - Curated,Confidence score<br>below threhold,5,2.77777777777778
0001,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,175,97.2222222222222
0001,12S - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,5,2.77777777777778
0001,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0001,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0001,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0001,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0001,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,1,50
0001,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,50
0001,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,2,50
0001,COI - Barque - VSEARCH - Non-curated,Confidence score<br>below threhold,2,50
0001,COI - DADA2 - RDP - Curated,Confidence score<br>above threhold,73,9.25221799746515
0001,COI - DADA2 - RDP - Curated,Confidence score<br>below threhold,716,90.7477820025348
0001,COI - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,77,9.73451327433628
0001,COI - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,714,90.2654867256637
0002,12S - Barque - VSEARCH - Curated,Confidence score<br>above threhold,82,100
0002,12S - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,82,100
0002,12S - DADA2 - RDP - Curated,Confidence score<br>above threhold,127,3.99874055415617
0002,12S - DADA2 - RDP - Curated,Confidence score<br>below threhold,3049,96.0012594458438
0002,12S - DADA2 - RDP - Non-curated,Confidence score<br>above threhold,99,3.11712846347607
0002,12S - DADA2 - RDP - Non-curated,Confidence score<br>below threhold,3077,96.8828715365239
0002,COI - Barque - VSEARCH - Curated,Confidence score<br>above threhold,3,75
0002,COI - Barque - VSEARCH - Curated,Confidence score<br>below threhold,1,25
0002,COI - Barque - VSEARCH - Non-curated,Confidence score<br>above threhold,6,75
