Sample,Method,Confidence_categories,Total_pergroup,Rate
All Alberta and other species of fish,12S - Barque - VSEARCH - Curated,Confidence score above threhold,62,98.4126984126984
All Alberta and other species of fish,12S - Barque - VSEARCH - Curated,Confidence score below threhold,1,1.58730158730159
All Alberta and other species of fish,12S - Barque - VSEARCH - Non-curated,Confidence score above threhold,56,90.3225806451613
All Alberta and other species of fish,12S - Barque - VSEARCH - Non-curated,Confidence score below threhold,6,9.67741935483871
All Alberta and other species of fish,12S - DADA2 - RDP - Curated,Confidence score above threhold,63,88.7323943661972
All Alberta and other species of fish,12S - DADA2 - RDP - Curated,Confidence score below threhold,8,11.2676056338028
All Alberta and other species of fish,12S - DADA2 - RDP - Non-curated,Confidence score above threhold,43,60.5633802816901
All Alberta and other species of fish,12S - DADA2 - RDP - Non-curated,Confidence score below threhold,28,39.4366197183099
All Alberta and other species of fish,COI - Barque - VSEARCH - Curated,Confidence score above threhold,68,100
All Alberta and other species of fish,COI - Barque - VSEARCH - Non-curated,Confidence score above threhold,45,100
All Alberta and other species of fish,COI - DADA2 - RDP - Curated,Confidence score above threhold,66,97.0588235294118
All Alberta and other species of fish,COI - DADA2 - RDP - Curated,Confidence score below threhold,2,2.94117647058824
All Alberta and other species of fish,COI - DADA2 - RDP - Non-curated,Confidence score above threhold,60,88.2352941176471
All Alberta and other species of fish,COI - DADA2 - RDP - Non-curated,Confidence score below threhold,8,11.7647058823529
All Alberta fish species,12S - Barque - VSEARCH - Curated,Confidence score above threhold,61,100
All Alberta fish species,12S - Barque - VSEARCH - Non-curated,Confidence score above threhold,52,98.1132075471698
All Alberta fish species,12S - Barque - VSEARCH - Non-curated,Confidence score below threhold,1,1.88679245283019
All Alberta fish species,12S - DADA2 - RDP - Curated,Confidence score above threhold,61,100
All Alberta fish species,12S - DADA2 - RDP - Non-curated,Confidence score above threhold,37,60.655737704918
All Alberta fish species,12S - DADA2 - RDP - Non-curated,Confidence score below threhold,24,39.344262295082
All Alberta fish species,COI - Barque - VSEARCH - Curated,Confidence score above threhold,68,100
All Alberta fish species,COI - Barque - VSEARCH - Non-curated,Confidence score above threhold,45,100
All Alberta fish species,COI - DADA2 - RDP - Curated,Confidence score above threhold,66,97.0588235294118
All Alberta fish species,COI - DADA2 - RDP - Curated,Confidence score below threhold,2,2.94117647058824
All Alberta fish species,COI - DADA2 - RDP - Non-curated,Confidence score above threhold,60,88.2352941176471
All Alberta fish species,COI - DADA2 - RDP - Non-curated,Confidence score below threhold,8,11.7647058823529
Community of species with low relatedness,12S - Barque - VSEARCH - Curated,Confidence score above threhold,17,100
Community of species with low relatedness,12S - Barque - VSEARCH - Non-curated,Confidence score above threhold,15,100
Community of species with low relatedness,12S - DADA2 - RDP - Curated,Confidence score above threhold,16,100
Community of species with low relatedness,12S - DADA2 - RDP - Non-curated,Confidence score above threhold,13,81.25
Community of species with low relatedness,12S - DADA2 - RDP - Non-curated,Confidence score below threhold,3,18.75
Community of species with low relatedness,COI - Barque - VSEARCH - Curated,Confidence score above threhold,22,100
Community of species with low relatedness,COI - Barque - VSEARCH - Non-curated,Confidence score above threhold,19,100
Community of species with low relatedness,COI - DADA2 - RDP - Curated,Confidence score above threhold,15,100
Community of species with low relatedness,COI - DADA2 - RDP - Non-curated,Confidence score above threhold,13,86.6666666666667
Community of species with low relatedness,COI - DADA2 - RDP - Non-curated,Confidence score below threhold,2,13.3333333333333
Fish identified as taxonomic blindspot,12S - Barque - VSEARCH - Curated,Confidence score above threhold,20,100
Fish identified as taxonomic blindspot,12S - Barque - VSEARCH - Non-curated,Confidence score above threhold,17,100
Fish identified as taxonomic blindspot,12S - DADA2 - RDP - Curated,Confidence score above threhold,15,100
Fish identified as taxonomic blindspot,12S - DADA2 - RDP - Non-curated,Confidence score above threhold,11,73.3333333333333
Fish identified as taxonomic blindspot,12S - DADA2 - RDP - Non-curated,Confidence score below threhold,4,26.6666666666667
Fish identified as taxonomic blindspot,COI - Barque - VSEARCH - Curated,Confidence score above threhold,20,100
Fish identified as taxonomic blindspot,COI - Barque - VSEARCH - Non-curated,Confidence score above threhold,16,100
Fish identified as taxonomic blindspot,COI - DADA2 - RDP - Curated,Confidence score above threhold,15,100
Fish identified as taxonomic blindspot,COI - DADA2 - RDP - Non-curated,Confidence score above threhold,14,93.3333333333333
Fish identified as taxonomic blindspot,COI - DADA2 - RDP - Non-curated,Confidence score below threhold,1,6.66666666666667
