,Order,Family,Species,Occurrence,FishBase name,Name in Country,COI RDP,12S RDP,12S barque,COI barque
1,Acipenseriformes,Acipenseridae,Acipenser fulvescens,native ,Lake sturgeon ,Esturgeon jaune ,Yes,Yes,Yes,Yes
2,Anguilliformes,Anguillidae,Anguilla rostrata,introduced ,American eel ,,Yes,Yes,Yes,Yes
3,Cypriniformes,Cyprinidae,Carassius auratus,introduced ,Goldfish ,Cyprin doré ,Yes,Yes,Yes,Yes
4,Cypriniformes,Cyprinidae,Carassius gibelio,introduced ,Prussian carp ,,Yes,Yes,Yes,Yes
5,Cypriniformes,Catostomidae,Carpiodes cyprinus,native ,Quillback ,,Yes,NA,Yes,Yes
6,Cypriniformes,Catostomidae,Catostomus catostomus,native ,Longnose sucker ,Meunier rouge ,Yes,Yes,Yes,Yes
7,Cypriniformes,Catostomidae,Catostomus commersonii,native ,White sucker ,Meunier noir ,Yes,Yes,Yes,Yes
8,Cypriniformes,Catostomidae,Catostomus macrocheilus,native ,Largescale sucker ,Meunier à grandes écailles ,Yes,NA,NA,Yes
9,Cypriniformes,Catostomidae,Catostomus platyrhynchus,native ,Mountain sucker ,Meunier des montagnes ,Yes,NA,NA,Yes
10,Cypriniformes,Leuciscidae,Chrosomus eos,native ,Northern redbelly dace ,Ventre rouge du nord ,Yes,Yes,NA,Yes
11,Cypriniformes,Leuciscidae,Chrosomus neogaeus,native ,Finescale dace ,Ventre citron ,Yes,NA,NA,Yes
12,Salmoniformes,Salmonidae,Coregonus artedi,native ,Cisco ,Cisco de lac ,Yes,Yes,Yes,Yes
13,Salmoniformes,Salmonidae,Coregonus clupeaformis,native ,Lake whitefish ,Grand corégone ,Yes,Yes,Yes,Yes
14,Salmoniformes,Salmonidae,Coregonus zenithicus,native ,Shortjaw cisco ,Cisco à mâchoires égales ,Yes,NA,NA,Yes
15,Perciformes/Cottoidei,Cottidae,Cottus bairdii,native ,Mottled sculpin ,Chabot tacheté ,Yes,Yes,Yes,Yes
16,Perciformes/Cottoidei,Cottidae,Cottus cognatus,native ,Slimy sculpin ,Chabot visqueux ,Yes,NA,Yes,Yes
17,Perciformes/Cottoidei,Cottidae,Cottus confusus,native ,Shorthead sculpin ,Chabot à tête courte ,Yes,NA,NA,Yes
18,Perciformes/Cottoidei,Cottidae,Cottus ricei,native ,Spoonhead sculpin ,Chabot à tête plate ,Yes,NA,Yes,Yes
19,Cypriniformes,Leuciscidae,Couesius plumbeus,native ,Lake chub ,Méné de lac ,Yes,Yes,Yes,Yes
20,Perciformes/Gasterosteoidei,Gasterosteidae,Culaea inconstans,native ,Brook stickleback ,Épinoche à cinq épines ,Yes,Yes,Yes,Yes
21,Esociformes,Esocidae,Esox lucius,native ,Northern pike ,Grand brochet ,Yes,Yes,Yes,Yes
22,Perciformes/Percoidei,Percidae,Etheostoma exile,native ,Iowa darter ,Weed darter ,Yes,NA,Yes,Yes
23,Cyprinodontiformes,Poeciliidae,Gambusia affinis,introduced ,Mosquitofish ,Gambusie ,Yes,Yes,Yes,Yes
24,Perciformes/Gasterosteoidei,Gasterosteidae,Gasterosteus aculeatus,introduced ,Three-spined stickleback ,Épinoche à trois épines ,Yes,Yes,Yes,Yes
25,Hiodontiformes,Hiodontidae,Hiodon alosoides,native ,Goldeye ,La Queche ,Yes,Yes,Yes,Yes
26,Hiodontiformes,Hiodontidae,Hiodon tergisus,native ,Mooneye ,Laquaiche argentée ,Yes,Yes,Yes,Yes
27,Cypriniformes,Leuciscidae,Hybognathus argyritis,native ,Western silvery minnow ,,Yes,NA,NA,Yes
28,Cypriniformes,Leuciscidae,Hybognathus hankinsoni,native ,Brassy minnow ,Mémé laiton ,Yes,NA,Yes,Yes
29,Centrarchiformes,Centrarchidae,Lepomis gibbosus,introduced ,Pumpkinseed ,Crapet-soleil ,Yes,Yes,Yes,Yes
